,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
0,0.0,1000.0,1009.65,999.6,1009.49,5008.46,1892.15
1,1.0,1009.58,1012.51,1009.18,1012.35,586.49,2687.58
2,2.0,1012.74,1016.95,1012.34,1016.78,12435.29,1564.27
3,3.0,1017.19,1017.35,1008.21,1008.61,10123.41,1423.33
4,4.0,1008.74,1022.06,1008.33,1021.9,9970.89,2548.51
5,5.0,1022.24,1026.85,1021.84,1026.69,8747.75,1885.47
6,6.0,1026.69,1033.44,1026.29,1033.28,4380.8,1467.25
7,7.0,1033.05,1033.21,1024.32,1024.72,9324.01,2440.27
8,8.0,1024.84,1036.18,1024.43,1036.02,7213.6,2164.01
9,9.0,1036.16,1036.32,1029.56,1029.96,16503.24,2305.25
10,10.0,1029.81,1029.97,1016.3,1016.7,4408.99,1507.57
11,11.0,1016.87,1017.03,1009.6,1010.0,9333.74,1608.13
12,12.0,1010.09,1012.04,1009.69,1011.87,9644.94,2231.33
13,13.0,1011.43,1011.59,1008.46,1008.86,16079.07,2844.64
14,14.0,1008.88,1009.05,1004.89,1005.3,4653.22,2309.99
15,15.0,1005.23,1005.39,991.73,992.14,7847.58,2386.25
16,16.0,992.1,1002.41,991.69,1002.24,-2784.56,2190.83
17,17.0,1002.12,1002.48,1001.72,1002.32,8777.89,1704.92
18,18.0,1002.21,1002.37,987.92,988.32,6969.91,1621.51
19,19.0,988.63,988.79,979.04,979.44,17295.66,2455.91
20,20.0,979.77,979.93,978.52,978.92,14212.87,2095.0
21,21.0,979.05,979.21,968.16,968.56,6260.64,1529.79
22,22.0,968.64,995.92,968.24,995.76,10026.06,1863.15
23,23.0,995.57,1006.81,995.17,1006.65,13313.61,2441.03
24,24.0,1006.59,1025.59,1006.19,1025.43,3141.47,2334.9
25,25.0,1025.57,1025.73,1017.92,1018.32,8523.22,2037.96
26,26.0,1018.52,1032.38,1018.12,1032.22,6654.97,2409.45
27,27.0,1032.29,1032.45,1026.55,1026.96,10388.19,2019.91
28,28.0,1027.12,1034.37,1026.72,1034.21,13765.48,2185.49
29,29.0,1034.45,1036.58,1034.04,1036.42,9234.44,2246.5
30,30.0,1036.61,1048.85,1036.2,1048.69,14236.92,1872.19
31,31.0,1048.71,1048.87,1044.75,1045.15,4282.48,2105.2
32,32.0,1045.09,1045.25,1041.05,1041.45,19571.19,1896.67
33,33.0,1041.42,1041.58,1038.93,1039.33,5550.06,1953.72
34,34.0,1039.0,1051.85,1038.59,1051.69,5555.09,2052.33
35,35.0,1051.83,1051.99,1040.39,1040.79,14923.22,1745.43
36,36.0,1040.93,1041.09,1033.37,1033.77,14755.41,1981.28
37,37.0,1034.02,1038.06,1033.61,1037.9,15943.82,1781.2
38,38.0,1038.06,1041.78,1037.66,1041.62,8160.29,2180.7
39,39.0,1041.71,1041.88,1036.06,1036.46,13856.97,1738.04
40,40.0,1036.07,1047.96,1035.67,1047.8,10390.98,1774.48
41,41.0,1047.81,1047.97,1042.81,1043.21,12748.8,2329.21
42,42.0,1043.02,1043.72,1042.61,1043.56,3460.71,2028.74
43,43.0,1043.65,1046.58,1043.25,1046.42,14443.49,2816.37
44,44.0,1046.39,1053.39,1045.98,1053.22,5655.42,2116.89
45,45.0,1053.02,1053.18,1044.58,1044.99,12902.86,1339.92
46,46.0,1044.89,1045.13,1044.49,1044.97,8997.27,2511.83
47,47.0,1044.91,1049.11,1044.51,1048.95,7879.78,1999.09
48,48.0,1049.13,1051.32,1048.72,1051.16,8438.81,2225.05
49,49.0,1051.02,1051.18,1036.2,1036.61,16012.3,2274.93
50,50.0,1036.67,1036.84,1028.38,1028.78,8788.95,2163.14
51,51.0,1028.75,1028.91,1024.26,1024.66,10336.94,2908.75
52,52.0,1024.81,1028.65,1024.41,1028.49,5067.62,1925.09
53,53.0,1028.42,1035.08,1028.02,1034.92,13672.4,2552.19
54,54.0,1035.08,1035.51,1034.68,1035.35,6213.31,1833.39
55,55.0,1035.48,1035.64,1031.98,1032.38,17116.69,1838.72
56,56.0,1032.26,1032.42,1025.91,1026.31,14143.5,1394.15
57,57.0,1026.15,1051.75,1025.74,1051.58,3297.19,2195.47
58,58.0,1051.42,1055.71,1051.02,1055.55,9042.41,2378.68
59,59.0,1055.3,1060.16,1054.9,1060.0,6559.94,2223.84
60,60.0,1060.09,1060.25,1059.22,1059.62,12158.1,2099.93
61,61.0,1059.89,1060.05,1055.0,1055.4,9994.19,2254.68
62,62.0,1055.66,1055.82,1054.77,1055.17,19074.47,1122.33
63,63.0,1055.19,1055.35,1053.18,1053.58,6672.74,1753.04
64,64.0,1054.07,1064.62,1053.67,1064.46,6268.81,2862.57
65,65.0,1064.32,1064.48,1060.55,1060.95,13805.96,1748.51
66,66.0,1060.68,1060.84,1058.96,1059.36,4526.36,2474.41
67,67.0,1059.24,1059.4,1045.32,1045.72,17060.59,1723.91
68,68.0,1045.91,1051.37,1045.51,1051.21,8038.78,1499.96
69,69.0,1051.04,1051.2,1038.55,1038.95,4998.65,1379.55
70,70.0,1039.17,1042.98,1038.77,1042.82,12863.79,2364.34
71,71.0,1042.75,1042.91,1034.22,1034.63,9383.52,2121.55
72,72.0,1034.74,1041.29,1034.34,1041.13,8959.58,2097.93
73,73.0,1040.88,1046.0,1040.48,1045.84,12102.84,1177.72
74,74.0,1045.57,1050.14,1045.17,1049.98,5532.15,2027.64
75,75.0,1049.93,1051.98,1049.53,1051.81,6790.39,1979.25
76,76.0,1052.15,1052.31,1050.3,1050.7,12623.96,1780.07
77,77.0,1050.25,1050.41,1037.85,1038.25,9378.36,2219.81
78,78.0,1038.33,1051.09,1037.92,1050.93,12802.45,1677.03
79,79.0,1050.97,1052.76,1050.57,1052.6,549.04,1475.87
80,80.0,1052.42,1052.58,1050.37,1050.77,10796.8,1803.53
81,81.0,1050.79,1050.95,1042.69,1043.1,13580.54,2249.07
82,82.0,1043.01,1051.7,1042.61,1051.54,7965.75,1959.74
83,83.0,1051.65,1051.81,1029.65,1030.05,922.04,3088.0
84,84.0,1030.12,1030.28,1022.47,1022.87,6374.49,2201.18
85,85.0,1022.79,1031.63,1022.38,1031.46,10558.26,1772.91
86,86.0,1031.41,1060.71,1031.01,1060.55,14836.21,2153.4
87,87.0,1060.8,1066.14,1060.4,1065.98,15811.89,2208.87
88,88.0,1065.99,1074.32,1065.59,1074.16,11998.19,2240.55
89,89.0,1074.27,1081.84,1073.86,1081.68,6831.2,1573.93
90,90.0,1081.17,1092.62,1080.76,1092.46,10547.72,1920.34
91,91.0,1092.24,1092.41,1079.55,1079.95,10087.84,2340.44
92,92.0,1079.84,1084.06,1079.44,1083.9,6237.66,3010.96
93,93.0,1083.81,1083.97,1069.43,1069.83,17687.59,839.54
94,94.0,1069.84,1070.0,1057.22,1057.62,8001.22,1695.89
95,95.0,1057.83,1065.28,1057.43,1065.12,6013.11,1772.6
96,96.0,1065.09,1072.45,1064.69,1072.29,4967.93,2203.32
97,97.0,1072.4,1084.49,1071.99,1084.33,13229.78,1648.71
98,98.0,1084.38,1084.54,1083.71,1084.11,1805.0,2236.03
99,99.0,1084.05,1084.21,1068.58,1068.98,16083.78,1823.55
100,100.0,1068.8,1073.33,1068.4,1073.17,424.45,1642.54
101,101.0,1073.49,1073.65,1068.26,1068.67,7791.94,1840.64
